Names	total	elements
		IRGQ
		FAM124B
		PCDHB1
		LLPH
		EXOG
		CHRD
		C19orf57
		TTN
		MIR6756///MCAM
		RGS6
		SRGAP3
		TBC1D10B
		NBR2
		MTSS1
		SARDH
		DNAJB12
		SCAND2P
		JAK3
		PSG6
		IDUA
		ART3
		SGSM2
		NOP14-AS1
		SCN8A
		IRF8
		FOXN3-AS2
		CHRNA9
		ITGB3
		XYLB
		FUT5
		TLL1
		BRF2
		GNG13
		LOC644172///MAPK8IP1
		LOC100652931///RBMY2FP
		REM1
		LINC01482
		FANCE
		MKL1
		ATP6V1D
		LOC100507472///PCSK6
		GUCA1A
		GABARAPL3
		EPS15L1
		VPS13C
		CRYGA
		TM6SF2
		MYH7B
		SLC38A7
		GIT2
		CCDC71
		ATP6V0E1
		TM4SF5
		LRRC14
		MAT2A
		CLN3
		TRPC3
		KLRD1
		VAV1
		RUBCN
		S100A13
		VHL
		PPWD1
		CCDC9
		ST18
		CYP2R1
		DHRS2
		ADIPOQ
GSE51024	3912	MSRB1
		C9orf152
		FARP1
		TRAF3IP2-AS1
		TUBD1
		GNL3
		C10orf25
		KLHL13
		EDN1
		STOX1
		ATP5F1
		DECR1
		PTPRR
		SLC25A3
		MTHFD2L
		GALNT3
		SUMO1
		BOLA3-AS1
		LRRC6
		TMC4
		UBAC1
		EPB41L4B
		EP300
		CCNI
		MMP7
		GPSM2
		DGCR6L///DGCR6
		LRRC71
		DDX5
		ZEB1
		C4orf22
		LOC93622
		CYTH1
		FGR
		MSRB3
		PDE1C
		GDA
		XK
		SLC15A2
		MREG
		THRAP3
		NOSTRIN
		ING3
		PDLIM2
		AK7
		BANK1
		SFTA2
		MAX
		CAPS
		PROSC
		RNF185
		IGSF3
		C4orf3
		FLJ26850
		NFIA
		CTAGE5
		SLC25A14
		HEIH
		ECH1
		ATXN10
		PCAT19
		CYP2F1
		SPHAR///RAB4A
		LOC102723983///DAZAP2
		LOC100507258///CA13
		MAP1LC3C
		LUZP1
		ACSM3
		C5AR1
		CDK20
		LOC283588
		GRPEL1
		USP6NL
		CCDC66
		ANXA3
		BBS12
		LRGUK
		TEK
		PHF20
		RNF32
		GRK5
		GTPBP1
		HES1
		AP1S2
		RAB33B
		LOC101930322///ABCC6P2///ABCC6P1///ABCC6
		ALDOC
		VGLL3
		SEL1L3
		SUPT4H1
		ARHGEF26-AS1
		LOC100506098
		LOC101928433
		LOC729970
		ANKRD6
		LTBP4
		PALM2-AKAP2///AKAP2
		LINC00261
		ARHGEF9
		BORCS7
		DNAJC15
		VWA5A
		STK17A
		SIAH3
		CHRAC1
		CTDSP2
		PGBD5
		CCNY
		RMND5B
		SSU72
		EXOSC7
		CFAP157
		C11orf88
		GRAMD2
		ZBTB48
		AP3M2
		UFM1
		CORO2A
		FAM174A
		ZNF385B
		FBXL14
		DSTN
		PSMG4
		KIAA1211L
		ATXN7L3B
		TPM3
		ORM1
		EIF1
		NTHL1
		N4BP2L2
		B3GNT7
		RPS28
		GDF10
		ADH5
		DESI1
		OR7E37P
		SLC16A5
		GCC2
		WBP4
		RFX3
		CHMP1B
		CD82
		COPS4
		PMM1
		MAP3K13
		FAM86DP///FAM86B2///FAM86FP///FAM86B1///FAM86C1
		GCLM
		EIF1AX
		CPEB3
		PPM1A
		SRSF11
		ARL13B
		CAMTA1
		MYO15B
		MIR6732///ZC3H12A
		WDFY2
		MLF1
		ID1
		LOC100506124///TTC21B
		FAXC
		STPG1
		LIMD1
		LOC101926913
		TOX3
		CLCN4
		THRB
		PSMD11
		MTMR14
		DNAH11
		DNAL4
		ALAD
		CFAP221
		GSTM4
		CNOT1
		RSPH4A
		CEP120
		SPX
		IRS1
		MFN2
		TSPAN7
		LOC105375172
		BRK1
		TLCD2
		FSIP1
		PAQR8
		FAM204A
		SNX25
		CDK17
		CHST6
		RASIP1
		PPBP
		MYO5C
		LINC01207
		SARS
		QKI
		OFD1
		ABHD12
		AHCYL2
		DAPP1
		ATF7
		TMEM125
		CHRM1
		IL6R
		SPG20
		LOC105376944
		ZNF655
		C21orf59
		QRICH1
		LZTFL1
		GSTP1
		DCUN1D5
		LEFTY1///LEFTY2
		GMFB
		HDHD2
		LOC401052
		SPATA4
		AGTPBP1
		ASAH1
		ADRA1A
		AHI1
		MIR3945HG
		FAM221B
		KRT15
		RTN4RL1
		DUSP18
		RSU1
		AHR
		LCA5L
		RBPMS
		DLEC1
		CHMP2B
		ACO2
		CAMSAP1
		IRX3
		PSMF1
		CYSTM1
		SORBS2
		UBE2N
		WAPL
		NFE2L2
		NRF1
		LOC101929134///HERC3
		MUC15
		KLF4
		LMO4
		C16orf71
		BTK
		KRCC1
		SYTL5
		TJP3
		IDS
		OLFML2A
		KIF19
		LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///IPW
		ABCC6P1
		GPBP1L1
		RNF182
		BRD4
		EIF4E2
		LINC01607
		KLHL6
		SLC46A2
		MTMR6
		SOX9
		PRSS22
		CYP3A5
		CCM2L
		AKIRIN1
		FHDC1
		IL17D
		RDX
		JUND
		SVIL
		DEUP1
		GRHL1
		TCF21
		STOML3
		MYCBPAP
		SLC51B
		ARHGEF26
		MTMR12
		PREX2
		PROSER2
		COQ10A
		TAB2
		EIF3D
		MPC2
		FAM161A
		DLGAP1
		TANK
		LOC101926907
		LINC01527
		NAB2
		NTN4
		PECR
		ZDHHC11B///ZDHHC11
		SERP1
		SHH
		SYDE2
		CBWD7///CBWD6///CBWD3///CBWD5///CBWD2///CBWD1
		LAMTOR3
		TYRP1
		RAB20
		TMPRSS4
		TSHZ1
		FRG1CP///LOC283788
		DCAF11
		GTF2H5
		ISCU
		PLEKHM3
		SYNJ2BP-COX16///SYNJ2BP
		LOC100130987
		CH17-340M24.3
		PLA2G4C
		ENKUR
		SDR16C5
		ICA1L
		XPO4
		CCDC60
		TCTA
		KIAA0319L
		LAMTOR5
		TALDO1
		RAB11FIP4
		KMT5A
		C5orf56
		AADACP1
		OPN3
		SEPHS1
		GLIPR2
		NEGR1
		EHD2
		SAT2
		HOXA5
		FGF12
		CLK3
		PPID
		TRIM56
		HNRNPK
		IL20RA
		ELF1
		C11orf49
		BTBD9
		LOC728175
		FAM129B
		NCK2
		ADD1
		ANP32A
		MGP
		ASZ1
		FKBP5
		STRN3
		FBXO3
		CCAR2
		GPR157
		PEF1
		PPDPF
		ZNF750
		MIR6866///CASC3
		GPRIN2
		BAIAP3
		LOC101927416
		LOC101930591///FAM21C
		CUL3
		HMBOX1
		ANKRD40
		MUC20
		CALCOCO2
		SPATS2L
		CLIC5
		YPEL1
		LINC-PINT
		NPNT
		RNF43
		TRHDE
		PTPN4
		EPB41L3
		KAT5
		TEKT2
		CDKN2B
		MAP3K6
		LOC100506990
		PROS1
		SOCS4
		MAP6
		VEGFA
		LOC285043
		SLC16A11
		CSRNP1
		PPP6R2
		SETBP1
		GIMAP6
		AIF1L
		AREG
		CDS2
		LIPT1
		ITGA2
		MME
		TEX26
		SHANK3
		EFCAB12
		NRXN1
		SLC37A1
		PIH1D3
		PHYH
		GGT6
		ZNF839
		AGBL1
		CDK11A///CDK11B
		MALL
		C22orf23
		LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1
		NELL2
		RUVBL2
		VWA3A
		MCAT
		LRRD1///CYP51A1
		PCSK9
		SLC35A1
		LAMA3
		GPR160
		THEMIS2
		LINC00997
		LZTS3
		TSTD1
		SRSF3
		LOC728024
		SLC11A1
		LOC105376037
		AUH
		PCYT1B
		RALB
		GSK3B
		ABHD14B
		TNFAIP3
		GJA9-MYCBP///MYCBP
		ALAS1
		KLHDC2
		C9orf135
		GBP4
		PSMA5
		MAPK1IP1L
		FARS2
		CCDC28A
		TRIP10
		USP51
		PIAS1
		FBXO7
		CFAP20
		ST6GALNAC3
		LRRFIP1
		PPP4R1
		GCLC
		ZC3H14
		OTUD6B-AS1
		RBMXL1
		IKBKAP
		UPF1
		ZMYND10
		SNW1
		IL18RAP
		RPP30
		TRIM16
		BLVRB
		PIFO
		CRNDE
		SNORA68
		SMURF2
		SLC22A3
		FAM13A
		SLC25A24
		EFR3B
		GPBP1
		ACER3
		KLHDC1
		UCP2
		ZFYVE9
		CC2D1B
		GBA2
		SLC25A30
		FLJ34503
		SPATA24
		GNLY
		ADGRG1
		GRAMD1C
		ZNF165
		USP38
		ANKRD65
		SERPINB11
		ARHGDIB
		ITGA10
		HFM1
		AK1
		STK24
		ACSS3
		TBC1D24
		SCTR
		MCF2L-AS1
		ARMT1
		ABCD3
		DNAJB13
		FIG4
		SPRY4-IT1
		CCSER2
		LMO7
		ASB4
		UCKL1
		CFAP47
		SLC23A1
		THAP4
		CITED2
		GPIHBP1
		FOXP2
		OCEL1
		LINC00964
		RSPH10B2///RSPH10B
		TMEM255B
		PCDH12
		RMND5A
		ZDHHC1
		LRRC32
		BPIFB1
		TRAF6
		ZFAND1
		LPAR3
		KIR3DL2///KIR3DL1
		DRC3
		KIAA0408
		SHE
		DNAH7
		CSNK1E
		ACADM
		KCNQ4
		GIPC2
		DUSP3
		ANKMY1
		MIR1182///FAM89A
		UNC119B
		C9orf72
		TCEAL2
		PTGER2
		SLC44A3
		HACL1
		ESAM
		IFT172
		CNTD1
		MYO9A
		TXLNG
		CCDC3
		FOXN3
		PXMP4
		LOC283075
		ATPIF1
		ETV3
		KRTCAP3
		PDLIM1
		UQCR10
		GPSM1
		WDR92
		SLC6A1
		ADHFE1
		SAMHD1
		OCLN
		TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1
		C20orf85
		SERTAD4
		SH3YL1
		C1orf158
		AK8
		PADI4
		DYNC1LI1
		CAPNS1
		THSD7A
		NBEA
		RAB2B
		CLDN3
		VPS4B
		DHRS12
		ZDHHC3
		SLC25A4
		SFTA3
		CYB5B
		NDRG1
		SESN1
		FBXO9
		APPL2
		FARP2
		FMO6P
		ADAT3///SCAMP4
		MAPKAPK3
		BBOF1
		MSRB2
		CYSLTR1
		CAPN2
		SEC22C
		RNF146
		LINC00959
		CFAP54
		NR4A1
		TIGD4
		DNPEP
		PCNP
		ATP5G3
		RPL15
		APTR
		CREB1
		ERBB2
		ADAMTS8
		CEACAM5
		MXRA7
		CFL2
		LRRTM2
		C4orf32
		FUT3
		GIMAP4
		NAP1L5
		DHX38
		KCNA3
		DBI
		LPIN2
		ABCF1
		ZHX2
		LRRC49
		LOC100506870///LOC283140
		CFAP53
		ERP27
		MCOLN3
		MRPL14
		ZNRF3
		ZNF211
		ZBTB21
		TTLL9
		PFDN1
		CCNB1IP1
		PALMD
		MPHOSPH6
		ITPKB
		TTC39B
		OBFC1
		C14orf79
		TMC5
		PLEKHB2
		TMEM50B
		CCDC17
		FAIM
		RPRD1A
		KLF5
		NUDC
		ARHGAP29
		TMEM251
		GABRP
		PDE5A
		CARD16///CASP1
		EIF3J
		PPP2R2A
		LOC100129034
		ROBO4
		RTCA
		NRG3
		CPEB4
		F10
		PPP1R36
		RPL3
		LGALS7B///LGALS7
		PTPRG
		EIF4ENIF1
		FAM206A
		TRMO
		TNFRSF21
		ABCA11P
		SPATA18
		LILRA1
		MKL2
		CRIP2
		ELMO1
		ARHGEF34P///OR2A7///OR2A4
		PPP1CB
		FAM184A
		LRRCC1
		SLC24A4
		TRIOBP
		CMTM4
		TSPYL1
		RGS22
		APLN
		NCOA1
		ADCY10P1
		DOCK9-AS2
		LINC00865
		ZBBX
		PDZD2
		MCC
		IFT88
		SLC26A2
		DDX43
		TARDBP
		CRB3
		NME5
		ARHGAP5
		ATXN1L
		RNF103-CHMP3///CHMP3///RNF103
		HDAC11
		BAHD1
		ILDR1
		DNAH10
		METAP2
		ADIRF
		MIR6741///PYCR2
		TNIP1
		MAP3K4
		TOX2
		MED15
		RHOJ
		CCDC96
		CDC37
		GNG7
		PGR
		CCDC173
		SPATA6L
		PPP2CA
		ZNF474
		SNX22
		ODC1
		MICA///MICB
		ADORA2B
		PHEX
		TMEM218
		MSMO1
		PDCL3P4///PDCL3
		MECOM
		THRA
		SYBU
		C11orf74
		FILIP1L
		CATSPERB
		ESRP1
		RNF103-CHMP3///CHMP3
		SAMD15
		NADK
		TSPAN18
		TRMT10A
		GALT
		CAPSL
		AZIN1
		CELA2A///CELA2B
		UBE2A
		LOC101060363///PPIA
		C16orf58
		ZDHHC21
		NOL7
		LEKR1
		BRMS1L
		TSLP
		LMO7DN
		TM9SF3
		SLC9C2
		BCL7B
		LRRIQ1
		LOC101929787
		JUP
		RAB40C
		ACOXL
		SLC41A1
		CHP1
		LRCH1
		LRRC18
		KIF3A
		DTD2
		DCXR
		MYL9
		C1orf194
		LURAP1L
		CASKIN2
		GUCD1
		LOC729680
		EFCC1
		CDKN1A
		NCK1
		CHCHD6
		FBXL3
		DRAIC
		PUDP
		UNC5D
		DIO1
		HS3ST2
		PAK4
		TBC1D15
		RNF10
		ZNF830
		EVA1A
		PATJ
		MGAT3
		ARPC5L
		NCBP3
		TCEAL3
		KLHL26
		C20orf194
		TMEM133
		LRG1
		TBRG1
		FAXDC2
		STAM2
		PTPMT1
		LOC101929368///FKBP1A
		GRP
		ADCY4
		CSTB
		DMD
		C22orf39
		HOOK1
		MLKL
		LOC100134937
		CRYL1
		LRRC46
		SPACA9
		TMIE
		HADHA
		CCBE1
		SARNP
		PLA2G16
		CFDP1
		HDAC1
		NRSN2-AS1
		LOC101929479///LOC727751///LOC642423///GOLGA2P7///GOLGA2P10
		SH3RF1
		RPL17-C18orf32///C18orf32///RPL17
		MASP1
		ADAMTS9-AS2
		NOL12///TRIOBP
		SARAF
		FOSB
		TMEM232
		SLC27A2
		ARHGAP35
		BCL6B
		FAM46C
		CHRM3
		OVOL1
		DDO
		MINOS1
		RIMKLA
		ASF1A
		GNB1
		MBNL1-AS1
		C22orf15
		UST
		AIG1
		ERICH1
		SNHG8///SNORA24
		ZNF689
		TMED6
		RAB28
		NLRP12
		TFCP2
		LOC284950
		SCOC-AS1
		CCDC144NL-AS1
		TLE4
		ALAS2
		TLK2
		PKP3
		CTSO
		SH3GL2
		ABCC13
		DHRS1
		SFMBT1
		NFKBIA
		ANO3
		LINC00961
		CD101
		ARHGAP24
		C4BPA
		JPH1
		DOPEY1
		AGBL2
		GSE1
		PRB4
		SUCLG2
		LOC102724362
		SPRED2
		BBIP1
		CYB5A
		NXF5
		PITPNC1
		SLIT2
		TPTE2P6
		NCOA7
		LIN7C
		C2orf88
		CCP110
		ANKRD18A
		LONRF1
		ODF3B
		CEP128
		NXPE3
		GATA2-AS1
		KCNMB4
		DENND6B
		PTCHD1
		SERPINB3
		CIDEB
		WRB
		TPR
		LINC01354
		KCNJ16
		LOC100996809///HLA-DRB4///HLA-DRB1
		CDC20B
		IRF9
		ZNF57
		C9orf3
		KLHDC9
		ZFAND2B
		UGT8
		HNRNPU
		FLT4
		DYNLT3
		FAM3D
		SESTD1
		FLII
		RHOBTB1
		LOC101926944
		KAZN
		SMAP2
		CSNK2A1
		EPPIN-WFDC6///EPPIN
		CALCOCO1
		MAP7D1
		BRAF
		PEBP1
		DTNA
		MAFF
		TMOD3
		SVIL-AS1///PTCHD3P1
		IL1R1
		ABTB1
		HSBP1
		LOC105376081
		EHHADH
		LINC00472
		BAIAP2
		H3F3AP4///H3F3B///H3F3A
		DIO3OS
		XPO7
		GULP1
		TMEM110
		BAIAP2-AS1
		C1orf162
		RRAGB
		FLJ23867///QSOX1
		STARD7
		GKN2
		VWA3B
		NDUFA5
		FLVCR2
		ZBTB40
		ALPL
		SMAD6
		FOLR3
		SAT1
		MAP3K9
		ABLIM1
		RPP38
		RHBDD1
		RBMS1
		RYBP
		TTC26
		ZNF22
		KLRB1
		DNASE2B
		ABCA13
		SAFB
		PNP
		NSUN4
		RFX2
		LOC154761
		ZADH2
		ST6GALNAC1
		ARL6
		HMGB1
		FAM216B
		FAM174B
		RAB4B-EGLN2///EGLN2
		CBFA2T3
		RAP1GDS1
		MIR1282///HYPK///SERF2
		LOC643923///ELMOD1
		BAIAP2L1
		SLC44A4
		GMPR2
		B3GNT5
		ERGIC1
		ACTR3
		C1orf106
		EIF4EBP2
		LOC388780
		CCNA1
		FAM65A
		DLGAP1-AS1
		SOX7
		POLR2L
		LOC100133920
		TRAF3IP2
		EPB41L4A
		HSPB8
		ZDHHC2
		MBNL2
		ATP6V0D1
		MAATS1
		RAP1A
		POLR1C
		LOC101930591///FAM21A///FAM21C
		IQCK
		SIGLEC17P
		NBEAL1
		MTM1
		ZBED3
		CLGN
		SMARCC2
		AP1G1
		NLRC4
		NUDT4P1///NUDT4
		ENPP4
		ECHDC1
		CCDC12
		FAM234B
		FOXQ1
		LOC100101148///LOC541473
		PTPRE
		FAM20A
		ZSCAN5A
		SDHB
		IRF2BP2
		TMEM183B///TMEM183A
		RNF41
		MSN
		TSPAN3
		MFSD6
		EPDR1
		PRR29
		DUSP22
		DERA
		L3MBTL2
		C18orf8
		ZFP3
		ST6GALNAC5
		NGRN
		DDX19B
		CLN8
		CRYZL1
		ACVRL1
		PTPN12
		CRY2
		PTPRZ1
		MAP3K5
		EIF3J-AS1
		ALKBH1
		NOS1
		FAM13A-AS1
		TIMP3
		ACACA
		MOB3C
		LRTOMT
		RGS3
		SPAG16
		ARHGEF12
		GLUD2
		SNURF///SNRPN
		CD55
		SCOC
		YOD1
		EML1
		TBX5
		MIR3682
		NAPG
		SHISA3
		ZBTB22
		COQ7
		C1orf101
		TAGLN2
		CHMP5
		FAM192A
		GALNT13
		THAP11
		CCDC141
		LINC01220
		NEK4
		PRKAR2A
		RBBP9
		DPH3
		SPATA17
		SKP1
		ZBTB38
		PAFAH1B1
		PGRMC2
		CFAP61
		UBE2I
		LOC101927609
		OSTF1
		FYCO1
		ANKRD35
		RAPH1
		CNTN4
		SOCS2-AS1
		CFAP57
		MYO6
		DNAJA4
		LOC286437
		ATP11A
		PLEKHB1
		AKIRIN2
		MYO1C
		CFAP73
		PELO
		RBM23
		GOLGA2P5
		KIFAP3
		CNKSR3
		PI4KA
		POU2AF1
		VWA8
		DDAH1
		ACBD5
		SAMD13
		TRNAU1AP
		EXD2
		CKB
		ARFGEF3
		INSC
		PARVA
		JAKMIP2
		MRAP2
		MAP3K14
		SLC40A1
		NOVA2
		RNF34
		GOLPH3
		TTLL1
		ANAPC13
		MBTPS1
		NCF2
		SH3GLB1
		SECISBP2
		POPDC2///COX17
		HMGN3
		XRCC6
		PAG1
		C12orf76
		SOS2
		USP16
		GPCPD1
		ANKRD28
		RAB14
		GRK3
		LOC653602///FAM84A
		GALNT5
		PCP4L1
		ESYT3
		ZFAND4
		MIR4640///DDR1
		FGD4
		RNF145
		DYNC1LI2
		LOC101929398
		CCDC186
		PDXK
		GSAP
		LOC101927266///IFT122
		LRRC4
		IFFO2
		PRMT2
		FAM135A
		EPN2-IT1///EPN2
		DEGS2
		ITGA1
		TSGA10
		HACE1
		SGIP1
		ADGRL2
		SNU13
		PRRG4
		HIRA
		BAG1
		COLGALT2
		VPS36
		CORO2B
		ALOX15
		ITGA8
		SH3RF3-AS1
		LOC101928274///VSIG10
		RBMS2
		IDNK
		ATP13A4
		GLB1L
		TP53INP2
		ANTXR2
		MYO10
		TUSC2
		PRKAA1
		ENAH
		IL1RL1
		MID1
		LOC401317///CREB5
		SYNE4
		LIPH
		CYP4F3
		RASEF
		POGK
		MAPK9
		ZNF366
		SLC12A2
		PPTC7
		ESRRG
		LRRC31
		CLDN7
		MCEMP1
		GRHL2
		TEKT3
		STOX2
		DNAH1
		LRRC43
		VGLL1
		FAR2
		FAM69B
		PPP4R3B
		LOC257152
		BATF3
		FAM188A
		FTL
		ARIH2
		KLF6
		USP54
		FNDC11
		PIK3C2A
		CYP4V2
		SLC25A21-AS1
		CCDC81
		CHKB
		SMIM8
		FAAH
		LYRM5
		LOC100507073
		SH3BGRL
		SRP68
		LOC101929177
		HECW2
		CYP2A6
		LOC100996542
		CDKN2D
		PITPNA
		LOC105373849
		UBR5
		LINC00894
		STUB1
		ILK
		EYA1
		SERPINB2
		DYNLL2
		WDR17
		ANXA6
		CDADC1
		VBP1
		GATSL3
		MFSD2A
		TMEM47
		CHL1
		RAPGEF1
		GATS
		C2CD4B
		MIR8085///BCL3
		TTLL7
		EFCAB14
		LOC100505841
		ZBED5-AS1
		SPOCK3
		FMC1
		DPCR1
		TMEM8B
		SMARCA5
		PLS1
		EFNA1
		GPKOW
		YY1AP1
		RAB23
		SENP6
		ARPP19
		ST20-AS1
		SPEF1
		DCDC2B
		DBT
		ZBTB16
		PDGFB
		RFX1
		RNF19B
		ANO2
		P4HTM
		MEPCE
		UQCRB
		LNP1
		SMIM7
		MRFAP1L1
		KCNK17
		RRAGA
		TMEM35A
		KIF21A
		UNK
		BRE-AS1
		MAML3
		PEX13
		FAM167A
		FAM229B
		COX20
		DYDC2
		NR1H2
		STAT3
		LIN7A
		PHC2
		UBXN10
		PPP2R5C
		SLC25A29
		LINC01091
		ORAI1
		LRRIQ3
		NKX2-1-AS1
		LOC101927123
		LOC105379426
		NEK1
		MATN3
		ANKRD11
		TBC1D20
		CEP83
		LOC102724611
		PKP4
		DUSP1
		CPM
		STX7
		ND4
		ATXN3
		C5orf49
		P2RY2
		SIPA1L1
		GPRC5A
		SOX17
		RABL2A///RABL2B
		ZDHHC19
		TGM3
		MTCH1
		C1orf52
		CDC26
		CDC42
		LRPPRC
		TM4SF18
		NINJ2
		TCEB3
		SNX2
		ABI3BP
		ATP1B2
		RBX1
		PRR15L
		ANKRD54
		TIE1
		ODF2L
		CATSPERD
		LINC00667
		ARHGEF18
		ZCCHC3
		EREG
		DCAF7
		TCTEX1D2
		WBSCR17
		WDR60
		FLJ35700
		RIMKLB
		ADAMTSL2
		SFN
		CLMN
		IQCD
		CD9
		RBL2
		C10orf95
		MS4A15
		PPP1R10
		CASP7
		LCA5
		ASRGL1
		TOM1
		CCNJL
		USP53
		MRPL50
		SCGB3A1
		ACSL5
		RCAN3
		C1orf87
		C4orf33
		DOK6
		SERPINB4///SERPINB3
		U2AF1
		SMAD4
		CASC2
		PPP1R26
		SLC6A20
		STAT6
		SGMS1
		CCDC40
		GNL1
		CCDC160
		PER3
		PRPSAP1
		ADCY8
		GCHFR
		TTC7A
		LOC101927178///FAM177A1
		PRKAG2
		PELI1
		C8orf34
		LOC105369635
		MLLT3
		COX4I2
		MUC4
		GOSR1
		SHC3
		DYNC2H1
		WASF3
		ARFIP2
		LOC730102
		KHDRBS2
		RNF138
		HOXD1
		DYNLRB1
		DYNLRB2
		SLITRK6
		LOC102724788///PRODH
		KPNA5
		TCAIM
		PLAA
		SERPIND1
		IFRD1
		KCTD9
		EHBP1
		LOC284023
		AMIGO1
		TXNIP
		OSGIN2
		ATG9B
		NUDT3
		CRISP3
		HLA-F-AS1
		FOXA3
		SRSF4
		HEBP2
		JHDM1D-AS1
		MMP24-AS1
		TLR3
		CAMK2G
		CTGF
		CPED1
		SRSF8
		RAB17
		FGF14
		POLB
		KIF3B
		BRD1
		PRICKLE2
		NEBL-AS1
		CPT2
		IVD
		LOC439911
		KANSL1L
		EPOR
		KLHL32
		HNRNPC
		SUGT1P3
		RNF165
		DHRS9
		CREBL2
		CCRL2
		CUL1
		SLC7A2
		TMEM67
		WDR47
		TNFAIP1
		KLRF1
		XPR1
		PRPF40A
		DALRD3
		PRKCE
		EML2
		TUBE1
		CCDC149
		WDR31
		NEK11
		PRDM11
		NAPA
		KIAA1324L
		PRKAA2
		DUSP19
		RGS5
		LOC101927263
		BTBD3
		ARMC3
		PPP1R2
		ACSS1
		PACRG
		FBXO21
		TUBA4A
		LINC01128
		SPAG17
		ZDHHC11
		NIPSNAP3A
		H2AFJ
		LOC153546
		TMEM150C
		KIF26A
		OSCAR
		TSPAN15
		MIR205
		DEDD
		MFSD2B///FKBP1B
		PEX2
		MYH14
		GON7
		LEAP2
		GADD45G
		CC2D2A
		SLU7
		VPS37C
		B3GNT8
		CMTM2
		UBR5-AS1
		ALOX15B
		ATP6V1B2
		ARHGAP18
		LRRTM4
		CAPN13
		DNAJA2
		NUS1
		PTPRN2
		PTGDS
		ATP5L
		CYP1A2
		EPB41L4A-AS1
		NUDT9
		LYN
		BPIFA1
		FAM105A
		DUSP6
		INPP4B
		IGSF10
		BMPR2
		DMKN
		TCN1
		UBE2R2
		SDCBP
		ICAM4
		FLJ10038
		LOC100996579
		ID4
		SOX5
		KIF6
		CLEC14A
		OR7E14P
		UBL3
		MED17
		LOC100507336
		ANOS1
		COL4A4
		POLR2K
		HNRNPF
		COL28A1
		TBC1D30
		ANKFN1
		NME7
		DNMBP
		ENPP5
		FHOD1
		DHPS
		FFAR4
		AXIN2
		DENND1B
		GTPBP4
		TUBGCP2
		SPNS2
		CXorf57
		IDI2///GTPBP4
		LOC101928307
		S1PR1
		GIMAP7
		PIH1D2
		IL1R2
		EFHB
		HTT
		GK3P
		CYB5R1
		DAB2IP
		TPGS2
		RAB3D
		BRI3
		ERBB3
		USP21
		SDK1
		LOC102724112///PYM1
		CYP2C18
		SDC1
		HNRNPDL
		FGA
		SERPINB1
		NUP58
		LOC101930006///FRMPD2B///FRMPD2
		PTPN21
		FOS
		PLAG1
		CCDC65
		RETN
		C14orf1
		WIPI1
		PAFAH2
		CCDC82
		WDR35
		ZNF777
		TMEM190
		RNF144B
		9-Mar
		SECISBP2L
		PDZD8
		HTATIP2
		C11orf97
		GRM5
		AZGP1
		NKD2
		CCDC33
		RBM11
		SNTN
		DDX6
		TMEM198B
		DIAPH1
		TRAF4
		C15orf57
		COPS8
		SACM1L
		CST6
		ZNF784
		ENTPD3-AS1
		ARAP2
		C16orf89
		EHD3
		SNX30
		PGAP3
		LINC01315
		LOH12CR2
		PCM1
		CAV1
		NMNAT3
		TSG101
		CEBPG
		DNAH9
		CLEC1A
		PATZ1
		TTF1
		PAQR5
		PEG3-AS1
		CCL28
		SHROOM3
		IRX2
		CNGA4
		HMGCL
		CORIN
		TMCC1
		ACAA1
		SPARCL1
		FAM172A
		MRPL49
		PPM1L
		ISG20
		SMU1
		PPP4R3A
		POLR1D
		SYNJ2BP-COX16///COX16
		TEC
		ANKRD29
		C1D
		CXCL1
		KIAA1191
		EPM2A
		SGMS2
		HNF4A
		NIT1
		TNFRSF10B
		FRK
		CTDSP1
		DNTTIP1
		TMEM116
		RASD1
		RELA
		BEX1
		TRIM71
		NR2F1-AS1
		SMIM14
		SLC26A9
		LARP1B
		MAP2
		LOC102725051///LOC102723891///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A11P///ANKRD20A9P///ANKRD20A1
		EP300-AS1
		AQP4-AS1
		CDC73
		TUSC1
		GSTM3
		EIF3L
		KCNA5
		GOLGA2P10
		ST14
		RIT1
		FGD5
		ARHGAP44
		XBP1
		EFCAB6
		FBXW11
		ARL3
		MLLT10
		BAZ1A
		PTPRO
		MEAF6
		CLEC12A
		MAP9
		CXorf36
		DSCR3
		HSPH1
		SIRT3
		C6orf118
		ACTB
		OTUD7B
		IL7R
		MSRA
		ZSWIM5
		TLR4
		PRSS16
		RAB12
		RBM18
		CEP126
		ZNF185
		OR2A9P///OR2A20P
		LINC01006///C7orf13
		C22orf34
		IYD
		ZMYND12
		C18orf25
		HMGCLL1
		UBQLN1
		ATP13A5
		RANBP10
		LOC728730
		ACVR1B
		C9orf24
		RBMS3
		RNF157-AS1
		IFNGR1
		MBIP
		TSPAN6
		LOC400927-CSNK1E///CSNK1E
		TMOD1
		TDRP
		RABL3
		ST6GALNAC2
		NHSL1
		DYDC1
		FGFBP2
		TMEM213
		MIR205HG
		DTHD1
		WWTR1
		CRACR2A
		CIB1
		COBL
		CBY1
		LOC399900
