Names	total	elements
		FOXA2
		LAMP3
		CARMIL1
		NFKB2
		KL
		SLC35D2
		GPD1
		EDNRA
		PPP2R5A
		TUBBP5
		GMFG
		PHLDA1
		FGFR3
		POU6F1
		HLF
		PHF1
		DNAAF1
		NDNF
		GGA1
		DDX24
		SERTAD2
		ZNF672
		SNN
		VSTM4
		ADRB1
		ALDH6A1
		SVEP1
		JMJD7///JMJD7-PLA2G4B
		MEIS1
		LRRC2
		NEDD4L
		CYP2B7P
		SELP
		CFAP43
		CYB561
		KIT
		EPHA7
		MAP7
		GRIA1
		PTGS2
		HPGDS
		IMPA2
		BMP2
		LAMC3
		ESR1
		IK
		TMEM265///SRCAP
		DENND2A
		SIK2
		PDE4D
		RAMP3
		TNFRSF10C
		BCL6
		TXNL4A
		FGFR4
		SLC19A1
		SREBF2
		PPM1E
		TINAGL1
		LRRC8E
		ACAA2
		MRC1
		YES1
		PDK4
		LILRA5
		LRRC36
		CYP2B7P///CYP2B6
		GIMAP1-GIMAP5///GIMAP5
		PTGER4
		KCNQ1
		RECQL5
		FOXO3B///FOXO3
		P2RY14
		CACNA2D2
		DOCK6
		B3GALT2
		EMCN
		MCCC1
		TTC19
		SLC27A6
		DYRK3
		TSPAN12
		ZNF365
		CDC14B
		HHEX
		PLCH1
		NAMPT
		DKK3
		RASL12
		DAZAP2
		SH3BP5
		KIF17
		ACSBG1
		TTC39A
		AQP3
		ST6GALNAC4
		LYVE1
		APOH
		ARHGEF15
		P3H2
		GNE
		HRASLS2
		LOC100505984///ITGB6
		MGST2
		LAD1
		EHD4
		DNAJC8
		CBX7
		OSBPL1A
		NRGN
		PID1
		RAI2
		IKZF4
		SLC25A20
		SNRK
		TMEM74B
		LHFP
		SPECC1L-ADORA2A///ADORA2A
		FAM76A
		TTC22
		PF4V1
		TARP///TRGV9///TRGC2
		CYB5R3
		NR0B2
		MAPRE2
		LRRC8B
		PCDH17
		TFPI
		IFT27
		CA3
		DNTTIP2
		RNASE1
		KANK2
		CCDC69
		SPAG8
		RPL5///SNORD21
		PLPP3
		TGFBR3
		CASP9
		AKR1C1
		DNAH3
		CAT
		PTPRM
		PRKCQ
		CNOT8
		CFLAR
		PRKCH
		ACACB
		TRAK1
		STXBP1
		RABGAP1L
		DLC1
		MXD1
		MANSC1
		FXYD1
		RPARP-AS1
		KMO
		PIP5K1B
		SFTPA2///SFTPA1
		SNTB1
		SOBP
		CEACAM1
		EPAS1
		PRELP
		HSDL2
		LPIN1
		BAALC
		PMP22
		CNNM2
		CBLC
		VNN2
		ETV1
		SULT2B1
		BMP5
		AGTR2
		PZP
		MID2
		CFD
		SOX2
		ROS1
		SLC19A2
		TMEM63A
		EFS
		PDE3B
		NDUFC2-KCTD14///KCTD14
		KHNYN
		RYR3
		MPZL2
		WTH3DI///RAB6A
		SETD2
		S100P
		PTPN18
		PKP1
		NDUFA6
		SOX13
		GK
		KIAA0141
		RC3H1
		MRPS14
		TGM2
		CLDN4
		CRYM
		ACAT1
		MTHFR
		MAN2A2
		GGT2///GGTLC1///GGTLC2///GGT1
		NPHP1
		RFTN1
		BTG1
		DICER1
		HIF3A
		CAPZA2
		SWAP70
		GSTA4
		MARK1
		TFCP2L1
		FGG
		TNFSF10
		DNAH6
		TSPAN8
		CSDE1
		ELF3
		NUDT7
		TBX2
		FRAT1
		KIF16B
		RCAN2
		PPARG
		TNNC1
		FAM47E-STBD1///FAM47E///STBD1
		HCAR3
		MYL6
		CXCL8
		4-Sep
		EPB41L1
		TOM1L2
		LITAF
		MNDA
		CPB2
		MPC1
		PPP3CC
		ZBTB43
		PIK3R3
		TMEM246
		F11
		LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1
		AGO4
		SERINC2
		SLC2A8
		AOC3
		C4orf19
		LILRA2
		ANKRD46
		PDE8A
		RIMS3
		FCER1A
		LMOD1
		S100A14
		FGFR2
		ASPA
		CCL15-CCL14///CCL14
		LMO2
		CSF3
		RPL22
		S1PR4
		STX11
		ARG1
		HBD
		GALC
		VWF
		NR6A1
		PFKFB3
		MTMR10
		RALGDS
		ADRB2
		HPGD
		SCEL
		KAT6A
		SLC6A14
		MST1L
		GAB2
		VPS13D
		ATF4
		FAM149B1
		EFHC2
		CLASP2
		TAF6L
		SMYD2
		SIGLEC6
		TMPRSS2
		ANGPT1
		EEF1A1
		LIMK2
		ETF1
		CCDC68
		ACSM5
		KIAA0040
		FERMT2
		MLX
		LGALSL
		CD34
		TPSAB1
		GAPVD1
		MFAP4
		CRYBB2P1
		MIR4738///H3F3B///H3F3A
		C11orf21
		SH2D3A
		TLE1
		ANKEF1
		CD24
		S100A4
		JMJD6
		PRKG1
		PPM1B
		NFIB
		SORBS1
		STXBP6
		DMBT1
		IL3RA
		SGCA
		EXPH5
		FOXA1
		STX12
		SAP18
		SLC18A2
		HADH
		GLUL
		RASSF2
		CD52
		2-Mar
		MTRF1L
		ICAM1
		PRPF18
		GTDC1
		SH2B3
		ADAP1
		NIPAL3
		TGFA
		DDC
		METTL7A
		ITM2A
		COX7A1
		FAM189A2
		NOTCH4
		AQP5
		7-Sep
		OSBPL11
		FMO2
		ACTG2
		LRRFIP2
		NCALD
		ADH1B
		NCAPH2
		ETV5
		CXCL5
		RHOBTB3
		PPP2R3C
		FCN3
		SLC5A1
		LILRA3
		YBX3
		HLA-DQB2
		TAPT1
		HIVEP3
		LPCAT3
		ABLIM3
		ANAPC15
		VIPR1
		PLAC8
		PDSS2
		PHF10
		L1TD1
		LARP4B
		TMSB4X
		PARD3
		KCNJ15
		SERPINI2
		MLPH
		CLDN18
		ABHD6
		APOL3
		CP
		FXYD3
		AMD1
		SRF
		TRIM8
		PNPLA2
		N4BP3
		CFAP45
GSE2549	1116	RPS11
		ZHX3
		MEFV
		LRRC41
		NCF4
		ZNF646
		CFHR5
		ALDOAP2
		MYO9B
		11-Sep
		HIC2
		NOS2
		ATP5G2
		ZNF446
		ZSWIM1
		TMX4
		CCDC28B
		HLA-DRB4
		NR4A2
		IPO9
		LEP
		OR7A17
		HMX1
		DHRS11
		ZNF510
		RUNX3
		PRKCB
		SIGLEC8
		SLCO2B1
		BAZ1B
		CLC
		GAGE1
		C1QTNF3
		RFPL2
		C1orf61
		CST7
		SELL
		SIRT6
		DNAH17
		LOC440792
		KLK8
		HTR7P1
		OPHN1
		SHBG
		PLXNA1
		BCL2
		HCRTR2
		PLCL2
		A4GALT
		ZNF35
		C9orf16
		CD6
		NIPSNAP3B
		RBFADN
		ADAM23
