MCODE App Results
Date: Sep 13, 2022, 12:04:08 PM

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
11	4.5	5	9	9606.ENSP00000377836, 9606.ENSP00000261797, 9606.ENSP00000002596, 9606.ENSP00000368678, 9606.ENSP00000264039
12	4.4	6	11	9606.ENSP00000379839, 9606.ENSP00000207870, 9606.ENSP00000423674, 9606.ENSP00000318318, 9606.ENSP00000252603, 9606.ENSP00000268261
13	4.333	7	13	9606.ENSP00000297440, 9606.ENSP00000231749, 9606.ENSP00000458355, 9606.ENSP00000306410, 9606.ENSP00000367815, 9606.ENSP00000261383, 9606.ENSP00000268699
14	4.308	14	28	9606.ENSP00000289371, 9606.ENSP00000357858, 9606.ENSP00000484105, 9606.ENSP00000465075, 9606.ENSP00000264995, 9606.ENSP00000322419, 9606.ENSP00000370376, 9606.ENSP00000307143, 9606.ENSP00000261881, 9606.ENSP00000354525, 9606.ENSP00000255120, 9606.ENSP00000428223, 9606.ENSP00000369897, 9606.ENSP00000274289
15	4	4	6	9606.ENSP00000420161, 9606.ENSP00000305603, 9606.ENSP00000356404, 9606.ENSP00000312021
16	4	4	6	9606.ENSP00000252840, 9606.ENSP00000307513, 9606.ENSP00000479953, 9606.ENSP00000238618
17	4	4	6	9606.ENSP00000269159, 9606.ENSP00000425487, 9606.ENSP00000376142, 9606.ENSP00000262644
18	4	4	6	9606.ENSP00000417207, 9606.ENSP00000453793, 9606.ENSP00000331741, 9606.ENSP00000364190
19	4	5	8	9606.ENSP00000372390, 9606.ENSP00000449756, 9606.ENSP00000370128, 9606.ENSP00000234256, 9606.ENSP00000454646
20	3.923	53	102	9606.ENSP00000345681, 9606.ENSP00000260129, 9606.ENSP00000357494, 9606.ENSP00000387286, 9606.ENSP00000426632, 9606.ENSP00000362900, 9606.ENSP00000354360, 9606.ENSP00000251038, 9606.ENSP00000343023, 9606.ENSP00000250617, 9606.ENSP00000364893, 9606.ENSP00000307508, 9606.ENSP00000386665, 9606.ENSP00000307900, 9606.ENSP00000356540, 9606.ENSP00000335193, 9606.ENSP00000479169, 9606.ENSP00000380136, 9606.ENSP00000307208, 9606.ENSP00000377262, 9606.ENSP00000247986, 9606.ENSP00000427900, 9606.ENSP00000249647, 9606.ENSP00000358474, 9606.ENSP00000385808, 9606.ENSP00000260408, 9606.ENSP00000341044, 9606.ENSP00000405573, 9606.ENSP00000233893, 9606.ENSP00000408025, 9606.ENSP00000307078, 9606.ENSP00000341289, 9606.ENSP00000304669, 9606.ENSP00000384629, 9606.ENSP00000263354, 9606.ENSP00000243326, 9606.ENSP00000334538, 9606.ENSP00000363054, 9606.ENSP00000272369, 9606.ENSP00000361473, 9606.ENSP00000356652, 9606.ENSP00000258301, 9606.ENSP00000233121, 9606.ENSP00000301149, 9606.ENSP00000457466, 9606.ENSP00000356515, 9606.ENSP00000338345, 9606.ENSP00000327191, 9606.ENSP00000358719, 9606.ENSP00000340820, 9606.ENSP00000221992, 9606.ENSP00000216277, 9606.ENSP00000347464
