MCODE App Results
Date: Sep 13, 2022, 12:04:08 PM

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
21	3.57	108	191	9606.ENSP00000475168, 9606.ENSP00000262306, 9606.ENSP00000376368, 9606.ENSP00000282728, 9606.ENSP00000440984, 9606.ENSP00000244763, 9606.ENSP00000378669, 9606.ENSP00000402394, 9606.ENSP00000355279, 9606.ENSP00000361635, 9606.ENSP00000285093, 9606.ENSP00000265382, 9606.ENSP00000302790, 9606.ENSP00000376167, 9606.ENSP00000263238, 9606.ENSP00000438788, 9606.ENSP00000357726, 9606.ENSP00000474560, 9606.ENSP00000366748, 9606.ENSP00000336721, 9606.ENSP00000354826, 9606.ENSP00000332151, 9606.ENSP00000295851, 9606.ENSP00000359300, 9606.ENSP00000351147, 9606.ENSP00000347416, 9606.ENSP00000425107, 9606.ENSP00000211122, 9606.ENSP00000321999, 9606.ENSP00000481249, 9606.ENSP00000264093, 9606.ENSP00000257566, 9606.ENSP00000389631, 9606.ENSP00000349722, 9606.ENSP00000219479, 9606.ENSP00000217652, 9606.ENSP00000357869, 9606.ENSP00000360973, 9606.ENSP00000442318, 9606.ENSP00000363973, 9606.ENSP00000315013, 9606.ENSP00000310301, 9606.ENSP00000378972, 9606.ENSP00000228938, 9606.ENSP00000035307, 9606.ENSP00000168148, 9606.ENSP00000372654, 9606.ENSP00000377003, 9606.ENSP00000335620, 9606.ENSP00000383199, 9606.ENSP00000351159, 9606.ENSP00000296435, 9606.ENSP00000286091, 9606.ENSP00000418823, 9606.ENSP00000470298, 9606.ENSP00000273317, 9606.ENSP00000392028, 9606.ENSP00000430493, 9606.ENSP00000363616, 9606.ENSP00000359423, 9606.ENSP00000381231, 9606.ENSP00000376077, 9606.ENSP00000446955, 9606.ENSP00000385995, 9606.ENSP00000414517, 9606.ENSP00000243776, 9606.ENSP00000476755, 9606.ENSP00000382840, 9606.ENSP00000327821, 9606.ENSP00000244709, 9606.ENSP00000468897, 9606.ENSP00000384198, 9606.ENSP00000201031, 9606.ENSP00000361120, 9606.ENSP00000381607, 9606.ENSP00000261427, 9606.ENSP00000377681, 9606.ENSP00000392812, 9606.ENSP00000283871, 9606.ENSP00000352157, 9606.ENSP00000226760, 9606.ENSP00000237530, 9606.ENSP00000365777, 9606.ENSP00000254227, 9606.ENSP00000481912, 9606.ENSP00000312442, 9606.ENSP00000382791, 9606.ENSP00000384018, 9606.ENSP00000333667, 9606.ENSP00000309198, 9606.ENSP00000379256, 9606.ENSP00000316377, 9606.ENSP00000228506, 9606.ENSP00000360431, 9606.ENSP00000384863, 9606.ENSP00000273450, 9606.ENSP00000262352, 9606.ENSP00000348775, 9606.ENSP00000391481, 9606.ENSP00000326305, 9606.ENSP00000405620, 9606.ENSP00000340329, 9606.ENSP00000342434, 9606.ENSP00000263413, 9606.ENSP00000416583, 9606.ENSP00000386346, 9606.ENSP00000360871, 9606.ENSP00000278193
22	3.524	22	37	9606.ENSP00000378914, 9606.ENSP00000268613, 9606.ENSP00000359719, 9606.ENSP00000394417, 9606.ENSP00000339992, 9606.ENSP00000433488, 9606.ENSP00000245838, 9606.ENSP00000262150, 9606.ENSP00000268058, 9606.ENSP00000312244, 9606.ENSP00000294339, 9606.ENSP00000359518, 9606.ENSP00000462701, 9606.ENSP00000384259, 9606.ENSP00000297185, 9606.ENSP00000411250, 9606.ENSP00000386759, 9606.ENSP00000288828, 9606.ENSP00000328484, 9606.ENSP00000356448, 9606.ENSP00000264012, 9606.ENSP00000367545
23	3.4	11	17	9606.ENSP00000402608, 9606.ENSP00000379895, 9606.ENSP00000252934, 9606.ENSP00000357880, 9606.ENSP00000261499, 9606.ENSP00000262210, 9606.ENSP00000376827, 9606.ENSP00000264705, 9606.ENSP00000349860, 9606.ENSP00000361471, 9606.ENSP00000389014
24	3.394	34	56	9606.ENSP00000218224, 9606.ENSP00000247001, 9606.ENSP00000440045, 9606.ENSP00000357583, 9606.ENSP00000421377, 9606.ENSP00000265563, 9606.ENSP00000260386, 9606.ENSP00000337168, 9606.ENSP00000256194, 9606.ENSP00000286621, 9606.ENSP00000325785, 9606.ENSP00000357668, 9606.ENSP00000261636, 9606.ENSP00000379500, 9606.ENSP00000352011, 9606.ENSP00000299335, 9606.ENSP00000316512, 9606.ENSP00000401435, 9606.ENSP00000343690, 9606.ENSP00000306253, 9606.ENSP00000265459, 9606.ENSP00000342222, 9606.ENSP00000074304, 9606.ENSP00000365569, 9606.ENSP00000256196, 9606.ENSP00000293190, 9606.ENSP00000331983, 9606.ENSP00000349142, 9606.ENSP00000222693, 9606.ENSP00000413937, 9606.ENSP00000240316, 9606.ENSP00000345988, 9606.ENSP00000480359, 9606.ENSP00000265717
25	3.333	4	5	9606.ENSP00000364685, 9606.ENSP00000345008, 9606.ENSP00000378957, 9606.ENSP00000356791
26	3.333	4	5	9606.ENSP00000364249, 9606.ENSP00000342007, 9606.ENSP00000221307, 9606.ENSP00000243501
27	3.333	7	10	9606.ENSP00000269601, 9606.ENSP00000450909, 9606.ENSP00000199814, 9606.ENSP00000462963, 9606.ENSP00000465759, 9606.ENSP00000263063, 9606.ENSP00000410758
28	3.333	7	10	9606.ENSP00000295987, 9606.ENSP00000407552, 9606.ENSP00000480050, 9606.ENSP00000239940, 9606.ENSP00000370010, 9606.ENSP00000348602, 9606.ENSP00000449428
29	3.259	28	44	9606.ENSP00000364589, 9606.ENSP00000338283, 9606.ENSP00000354772, 9606.ENSP00000267202, 9606.ENSP00000356213, 9606.ENSP00000259335, 9606.ENSP00000310260, 9606.ENSP00000265339, 9606.ENSP00000296755, 9606.ENSP00000311665, 9606.ENSP00000284440, 9606.ENSP00000258198, 9606.ENSP00000254657, 9606.ENSP00000256495, 9606.ENSP00000393183, 9606.ENSP00000339566, 9606.ENSP00000384109, 9606.ENSP00000261191, 9606.ENSP00000480893, 9606.ENSP00000003084, 9606.ENSP00000345575, 9606.ENSP00000261601, 9606.ENSP00000318629, 9606.ENSP00000237853, 9606.ENSP00000358159, 9606.ENSP00000393379, 9606.ENSP00000305494, 9606.ENSP00000348965
30	3	3	3	9606.ENSP00000260128, 9606.ENSP00000355995, 9606.ENSP00000307134
31	3	3	3	9606.ENSP00000270879, 9606.ENSP00000356016, 9606.ENSP00000246006
32	3	3	3	9606.ENSP00000313169, 9606.ENSP00000262457, 9606.ENSP00000367766
33	3	3	3	9606.ENSP00000200453, 9606.ENSP00000290551, 9606.ENSP00000419923
34	3	3	3	9606.ENSP00000299424, 9606.ENSP00000307684, 9606.ENSP00000359837
35	3	3	3	9606.ENSP00000385300, 9606.ENSP00000382783, 9606.ENSP00000299339
36	3	3	3	9606.ENSP00000483814, 9606.ENSP00000372482, 9606.ENSP00000294618
37	3	3	3	9606.ENSP00000363330, 9606.ENSP00000171757, 9606.ENSP00000355991
38	3	3	3	9606.ENSP00000345751, 9606.ENSP00000353292, 9606.ENSP00000346534
39	3	3	3	9606.ENSP00000337255, 9606.ENSP00000306275, 9606.ENSP00000433295
40	3	3	3	9606.ENSP00000306362, 9606.ENSP00000439170, 9606.ENSP00000347719
41	3	3	3	9606.ENSP00000335261, 9606.ENSP00000369373, 9606.ENSP00000262843
42	3	3	3	9606.ENSP00000450436, 9606.ENSP00000418397, 9606.ENSP00000322716
43	3	3	3	9606.ENSP00000386331, 9606.ENSP00000358994, 9606.ENSP00000384582
44	3	3	3	9606.ENSP00000305892, 9606.ENSP00000328426, 9606.ENSP00000364295
45	2.8	6	7	9606.ENSP00000360107, 9606.ENSP00000242505, 9606.ENSP00000262498, 9606.ENSP00000316842, 9606.ENSP00000357079, 9606.ENSP00000358374
46	2.75	9	11	9606.ENSP00000354468, 9606.ENSP00000264193, 9606.ENSP00000333994, 9606.ENSP00000369654, 9606.ENSP00000217961, 9606.ENSP00000358421, 9606.ENSP00000360918, 9606.ENSP00000201586, 9606.ENSP00000351035
47	2.667	7	8	9606.ENSP00000429015, 9606.ENSP00000362268, 9606.ENSP00000328875, 9606.ENSP00000309689, 9606.ENSP00000300176, 9606.ENSP00000420617, 9606.ENSP00000276569
48	2.667	4	4	9606.ENSP00000254801, 9606.ENSP00000053243, 9606.ENSP00000433277, 9606.ENSP00000300692
49	2.5	9	10	9606.ENSP00000438284, 9606.ENSP00000240874, 9606.ENSP00000292385, 9606.ENSP00000362014, 9606.ENSP00000288139, 9606.ENSP00000375960, 9606.ENSP00000406261, 9606.ENSP00000345502, 9606.ENSP00000254976
50	2.5	9	10	9606.ENSP00000420333, 9606.ENSP00000405327, 9606.ENSP00000361664, 9606.ENSP00000420875, 9606.ENSP00000356575, 9606.ENSP00000283632, 9606.ENSP00000233202, 9606.ENSP00000070846, 9606.ENSP00000377001
